# idx t phi1 phi3 phi4
249 0.000026576562 155.882824881614 154.157089366437 54.157089366437
250 0.000026676562 152.677374863409 151.016014346244 51.016014346244
251 0.000026776562 149.355123999980 147.760586468751 47.760586468751
252 0.000026876562 145.920605654067 144.395274151653 44.395274151653
253 0.000026976562 142.378415497519 140.924613665404 40.924613665404
254 0.000027076562 138.733206204631 137.353206678940 37.353206678940
255 0.000027176562 134.989682103169 133.685719326089 33.685719326089
256 0.000027376562 127.147676070590 126.004075594678 26.004075594678
257 0.000027576562 118.989489403764 118.015209426260 18.015209426260
258 0.000027776562 110.554171997845 109.760911981385 9.760911981385
259 0.000027976562 101.880382886353 101.308420682688 1.308420682688
260 0.000028001562 100.792428807666 100.280785862839 0.280785862839
261 0.000028014062 100.247280513274 99.964698895372 -0.035301104628
262 0.000028026562 99.700630685535 99.919667689073 -0.080332310927
263 0.000028039062 99.152440344716 99.912672649216 -0.087327350784
264 0.000028064062 98.049937854974 99.910147444026 -0.089852555974
265 0.000028114062 95.820993908901 99.906891066386 -0.093108933614
266 0.000028214062 91.271897815757 99.900521384648 -0.099478615352
267 0.000028414062 81.846573022874 99.887837109845 -0.112162890155
268 0.000028614062 72.132968049538 99.875252522534 -0.124747477466
269 0.000028814062 62.170928068520 99.862817292961 -0.137182707039
270 0.000029014062 52.001128313018 99.850580354568 -0.149419645432
271 0.000029214062 41.664908736548 99.838589655652 -0.161410344348
272 0.000029414062 31.204106687008 99.826891971756 -0.173108028244
273 0.000029614062 20.660888269345 99.815532724041 -0.184467275959
274 0.000030014062 -0.418019122796 99.794504293533 -0.205495706467
275 0.000030414062 -21.157642870503 99.775470330863 -0.224529669137
276 0.000030614062 -31.401668421621 99.766487878446 -0.233512121554
277 0.000030814062 -41.479607258019 99.758073594013 -0.241926405987
278 0.000031014062 -51.351981869435 99.750258718850 -0.249741281150
279 0.000031214062 -60.980291579788 99.743071981615 -0.256928018385
280 0.000031414062 -70.327161992419 99.736539493971 -0.263460506029
281 0.000031614062 -79.356489350907 99.730684657051 -0.269315342949
282 0.000031814062 -88.033579260793 99.725528079095 -0.274471920905
283 0.000032014062 -96.325279242219 99.721087504549 -0.278912495451
284 0.000032114062 -100.370738102336 99.719048255163 -0.280951744837
285 0.000032214062 -104.311866532347 99.717191897821 -0.282808102179
286 0.000032314062 -108.144833410990 99.715520102144 -0.284479897856
287 0.000032414062 -111.865919512617 99.714034351725 -0.285965648275
288 0.000032514062 -115.471521109045 99.712735942842 -0.287264057158
289 0.000032614062 -118.958153452427 99.711625983351 -0.288374016649
290 0.000032714062 -122.322454135756 99.710705391766 -0.289294608234
291 0.000032814062 -125.561186327806 99.709974896539 -0.290025103461
292 0.000032914062 -128.671241879366 99.709435035518 -0.290564964482
293 0.000033014062 -131.649644297829 99.709086155604 -0.290913844396
294 0.000033114062 -134.493551587275 99.708928412600 -0.291071587400
295 0.000033214062 -137.200258951356 99.708961771244 -0.291038228756
296 0.000033314062 -139.767201356422 99.709186005439 -0.290813994561
297 0.000033414062 -142.191955952469 99.709600698672 -0.290399301328
298 0.000033514062 -144.472244349625 99.710205244620 -0.289794755380
299 0.000033614062 -146.605934748066 99.710998847950 -0.289001152050
300 0.000033714062 -148.591043919362 99.711980525301 -0.288019474699
301 0.000033814062 -150.425739037431 99.713149106457 -0.286850893543
302 0.000033914063 -152.108339357436 99.714503235705 -0.285496764295
303 0.000034014063 -153.637317741076 99.716041373377 -0.283958626623
304 0.000034114063 -155.011302026932 99.717761797569 -0.282238202431
305 0.000034214063 -156.229076244627 99.719662606050 -0.280337393950
306 0.000034314063 -157.289581671774 99.721741718342 -0.278258281658
307 0.000034414063 -158.191917732784 99.723996877975 -0.276003122025
308 0.000034514063 -158.935342738825 99.726425654923 -0.273574345077
309 0.000034614063 -159.519274468330 99.729025448202 -0.270974551798
310 0.000034714063 -159.943290587652 99.731793488642 -0.268206511358
311 0.000034814063 -160.207128911594 99.734726841826 -0.265273158174
312 0.000034914063 -160.310687503726 99.737822411179 -0.262177588821
313 0.000035014063 -160.254024616542 99.741076941234 -0.258923058766
314 0.000035114063 -160.037358471685 99.744487021036 -0.255512978964
315 0.000035214063 -159.661066880613 99.748049087711 -0.251950912289
316 0.000035314063 -159.125686706260 99.751759430176 -0.248240569824
317 0.000035414063 -158.431913166369 99.755614192993 -0.244385807007
318 0.000035514063 -157.580598979372 99.759609380370 -0.240390619630
319 0.000035614063 -156.572753353821 99.763740860289 -0.236259139711
320 0.000035714063 -155.409540822532 99.768004368774 -0.231995631226
321 0.000035814063 -154.092279922775 99.772395514279 -0.227604485721
322 0.000035914063 -152.622441723973 99.776909782208 -0.223090217792
323 0.000036014063 -151.001648204541 99.781542539544 -0.218457460456
324 0.000036114063 -149.231670479629 99.786289039597 -0.213710960403
325 0.000036214063 -147.314426881708 99.791144426861 -0.208855573139
326 0.000036314063 -145.251980896042 99.796103741972 -0.203896258028
327 0.000036414063 -143.046538953271 99.801161926767 -0.198838073233
328 0.000036514063 -140.700448081445 99.806313829435 -0.193686170565
329 0.000036614063 -138.216193420002 99.811554209756 -0.188445790244
330 0.000036714063 -135.596395598308 99.816877744429 -0.183122255571
331 0.000036814063 -132.843807981512 99.822279032465 -0.177720967535
332 0.000036914063 -129.961313786612 99.827752600667 -0.172247399333
333 0.000037014063 -126.951923071726 99.833292909165 -0.166707090835
334 0.000037114063 -123.818769601716 99.838894357018 -0.161105642982
335 0.000037214063 -120.565107593421 99.844551287869 -0.155448712131
336 0.000037314063 -117.194308343860 99.850257995653 -0.149742004347
337 0.000037414063 -113.709856744901 99.856008730342 -0.143991269658
338 0.000037514063 -110.115347687988 99.861797703735 -0.138202296265
339 0.000037614063 -106.414482362628 99.867619095280 -0.132380904720
340 0.000037714063 -102.611064452442 99.873467057914 -0.126532942086
341 0.000037814063 -98.708996232683 99.879335723937 -0.120664276063
342 0.000038014063 -90.542923560166 99.891108785971 -0.108891214029
343 0.000038214063 -82.048890560498 99.902870540588 -0.097129459412
344 0.000038414063 -73.262043459855 99.914574183719 -0.085425816281
345 0.000038614063 -64.218554125636 99.926173330126 -0.073826669874
346 0.000038814063 -54.955471881220 99.937622196486 -0.062377803514
347 0.000039014063 -45.510572418826 99.948875781343 -0.051124218657
348 0.000039214063 -35.922204423934 99.959890041232 -0.040109958768
349 0.000039414063 -26.229134531338 99.970622062276 -0.029377937724
350 0.000039614063 -16.470391237079 99.981030226598 -0.018969773402
351 0.000040014063 2.998353156556 100.000243836004 0.000243836004
352 0.000040414063 22.112602561931 100.017577517744 0.017577517744
353 0.000040614063 31.543390418572 100.025741736384 0.025741736384
354 0.000040814063 40.810782523343 100.033372825184 0.033372825184
355 0.000041014063 49.878519157543 100.040442522217 0.040442522217
356 0.000041214063 58.711281019812 100.046924914825 0.046924914825
357 0.000041414063 67.274826145129 100.052796533424 0.052796533424
358 0.000041614063 75.536121984471 100.058036435216 0.058036435216
359 0.000041814063 83.463472138415 100.062626277484 0.062626277484
360 0.000042014063 91.026637261258 100.066550380254 0.066550380254
361 0.000042214063 98.196949677435 100.069795778088 0.069795778088
362 0.000042264063 99.964532804586 100.070564516570 0.070564516570
363 0.000042276563 100.404859140975 100.071060095819 0.071060095819
364 0.000042282813 100.624583859778 100.143675474025 0.143675474025
365 0.000042285938 100.734320662836 100.230661018849 0.230661018849
366 0.000042292188 100.953276382824 100.428320848090 0.428320848090
